Block,Site,Class,Pot,Month,Day,Sex,WingSize
1,7,urban,6,7,1,F,3.08
1,7,urban,6,7,1,M,2.32
1,7,urban,6,7,15,F,2.64
1,8,suburban,1,6,23,M,2.64
1,8,suburban,1,6,23,M,2.64
1,8,suburban,1,6,23,M,2.64
1,8,suburban,1,6,24,F,3.04
1,8,suburban,1,6,25,M,2.4
1,8,suburban,1,6,25,F,2.28
1,8,suburban,1,6,26,F,2.88
1,8,suburban,1,6,26,M,2.36
1,8,suburban,1,6,27,F,3
1,8,suburban,1,6,28,F,2.72
1,8,suburban,1,6,28,F,2.88
1,8,suburban,1,6,30,F,2.84
1,8,suburban,1,7,6,M,1.6
1,8,suburban,2,6,23,M,2.8
1,8,suburban,2,6,23,M,2.76
1,8,suburban,2,6,23,M,2.6
1,8,suburban,2,6,23,M,2.72
1,8,suburban,2,6,23,M,2.68
1,8,suburban,2,6,24,M,2.48
1,8,suburban,2,6,24,M,2.68
1,8,suburban,2,6,24,M,2.48
1,8,suburban,2,6,25,M,2.2
1,8,suburban,2,6,25,F,2.92
1,8,suburban,2,6,27,F,2.84
1,8,suburban,2,7,2,F,2.8
1,8,suburban,2,7,3,F,2.72
1,8,suburban,2,7,6,F,2.48
1,8,suburban,2,7,9,F,2.84
1,8,suburban,2,7,11,F,2.96
1,8,suburban,3,6,23,M,2.84
1,8,suburban,3,6,23,M,2.8
1,8,suburban,3,6,24,M,3.08
1,8,suburban,3,6,24,M,2.8
1,8,suburban,3,6,24,F,2.72
1,8,suburban,3,6,25,F,3.04
1,8,suburban,3,6,25,F,3
1,8,suburban,3,6,25,M,2.72
1,8,suburban,3,6,25,M,2.8
1,8,suburban,3,7,2,F,2.4
1,8,suburban,3,7,4,F,3.08
1,8,suburban,4,6,24,M,3.04
1,8,suburban,4,6,24,M,2.64
1,8,suburban,4,6,24,M,2.84
1,8,suburban,4,6,24,M,2.8
1,8,suburban,4,6,25,M,2.76
1,8,suburban,4,6,25,M,2.6
1,8,suburban,4,6,26,F,3.04
1,8,suburban,4,6,27,M,2.48
1,8,suburban,5,6,24,M,2.64
1,8,suburban,5,6,24,M,2.8
1,8,suburban,5,6,25,F,2.68
1,8,suburban,5,6,25,M,2.4
1,8,suburban,5,6,25,M,2.56
1,8,suburban,5,6,25,F,2.6
1,8,suburban,5,7,8,F,3.04
1,8,suburban,6,6,25,M,2.68
,,,,,,,
1,8,suburban,6,6,25,F,3.28
1,8,suburban,6,6,26,M,2.56
1,8,suburban,6,6,26,M,2.8
1,8,suburban,6,6,26,M,2.76
1,8,suburban,6,6,26,M,2.64
1,8,suburban,6,6,26,F,3
1,8,suburban,6,6,26,F,2.84
1,8,suburban,6,6,27,F,2.8
1,8,suburban,6,6,27,F,3.04
1,8,suburban,6,6,28,F,2.96
1,8,suburban,6,7,7,F,3.2
1,8,suburban,6,7,3,F,3.24
1,9,rural,1,6,29,F,3.04
1,9,rural,1,6,24,M,2.56
1,9,rural,1,6,25,M,2.52
1,9,rural,1,6,26,F,3
1,9,rural,1,6,27,M,2.64
1,9,rural,1,6,27,F,3.2
1,9,rural,1,6,27,M,2.56
1,9,rural,1,6,28,M,2.4
1,9,rural,1,6,28,M,2.6
1,9,rural,1,6,28,F,2.96
1,9,rural,1,7,6,F,3.24
1,9,rural,2,6,23,M,2.72
1,9,rural,2,6,24,M,2.6
1,9,rural,2,6,24,M,2.68
1,9,rural,2,6,24,M,2.68
1,9,rural,2,6,25,F,3
1,9,rural,2,6,26,M,2.24
1,9,rural,2,6,26,F,2.92
1,9,rural,2,6,26,F,2.88
1,9,rural,2,6,26,F,2.84
1,9,rural,2,6,27,F,2.92
1,9,rural,2,6,28,F,2.64
1,9,rural,2,7,2,F,2.72
1,9,rural,2,7,9,F,2.2
1,9,rural,3,6,24,M,2.92
1,9,rural,3,6,24,M,2.84
1,9,rural,3,6,25,M,2.68
1,9,rural,3,6,25,F,3.4
1,9,rural,3,6,26,M,2.68
1,9,rural,3,6,26,M,2.48
1,9,rural,3,6,26,F,3
1,9,rural,3,6,28,F,2.96
1,9,rural,4,6,24,M,2.72
1,9,rural,4,6,24,M,2.68
1,9,rural,4,6,25,M,2.6
1,9,rural,4,6,26,M,2.56
1,9,rural,4,6,26,M,2.6
1,9,rural,4,6,26,M,2.6
1,9,rural,4,6,27,F,3.2
1,9,rural,4,6,30,F,2.96
1,9,rural,4,6,30,M,3
1,9,rural,4,7,1,F,3.16
1,9,rural,4,7,1,F,2.76
1,9,rural,5,6,24,M,2.48
1,9,rural,5,6,26,M,2.2
1,9,rural,5,6,26,F,2.96
1,9,rural,5,6,26,M,2.56
1,9,rural,5,6,26,M,2.56
1,9,rural,5,6,26,F,3.04
1,9,rural,5,6,28,M,2.28
1,9,rural,5,6,28,F,2.8
1,9,rural,5,6,28,M,2.36
1,9,rural,5,7,3,F,2.96
1,9,rural,5,7,3,F,2.72
1,9,rural,5,7,3,M,1.56
1,9,rural,5,7,3,F,2.76
1,9,rural,6,6,24,M,2.88
1,9,rural,6,6,24,M,2.44
1,9,rural,6,6,24,M,2.56
1,9,rural,6,6,24,M,2.6
1,9,rural,6,6,25,F,3.24
1,9,rural,6,6,25,M,2.4
1,9,rural,6,6,25,M,2.64
1,9,rural,6,6,25,M,2.68
1,9,rural,6,6,28,F,3.04
1,9,rural,6,6,30,F,3.2
2,6,rural,1,9,21,M,3.16
2,6,rural,1,9,21,M,3
2,6,rural,1,9,21,F,3.8
2,6,rural,1,9,22,F,3.56
2,6,rural,1,9,22,M,2.36
2,6,rural,1,9,22,M,3.36
2,6,rural,1,9,22,M,2.76
2,6,rural,1,9,23,F,3.68
2,6,rural,1,9,23,F,3.56
2,6,rural,1,9,23,F,3.8
2,6,rural,1,9,24,F,3.6
2,6,rural,1,9,24,F,3.6
2,6,rural,1,9,25,F,3.4
2,6,rural,1,9,25,F,3.28
2,6,rural,1,9,25,F,3.36
2,6,rural,1,9,25,F,3.44
2,6,rural,1,9,25,F,3.2
2,6,rural,1,9,26,F,3.36
2,6,rural,1,9,26,F,3.48
